Statistic;Mean;Median;Worst 25%;Worst 1%
FPS;101.1;128.2;89.1;28.5
Frame time;9.89;7.80;11.22;35.06
Profiler overhead;0.43;0.35;0.49;1.29
Frame init;0.03;0.02;0.03;0.05
Target framerate;0.03;0.01;0.02;0.03
EarlyUpdate;0.09;0.09;0.11;0.19
FixedUpdate;1.29;0.01;2.60;3.40
FixedUpdate usercode;0.61;0.61;0.71;1.41
Physics;1.99;1.95;2.05;3.06
Coroutines;0.02;0.02;0.02;0.02
PreUpdate;0.07;0.05;0.08;0.14
OnMouse events;0.05;0.04;0.07;0.12
Update;2.71;1.77;2.00;25.13
Update;1.11;1.07;1.18;1.48
Coroutines;1.81;1.16;1.24;24.45
LateUpdate;0.53;0.52;0.55;0.73
LateUpdate;0.43;0.41;0.44;0.57
PostLateUpdate;4.74;4.28;5.74;6.52
UGUI;0.14;0.12;0.14;0.36
Audio;0.09;0.09;0.10;0.14
Renderers;0.81;0.18;1.64;1.88
Mesh skinning;0.01;0.00;0.00;0.04
UGUI geometry;0.06;0.06;0.06;0.15
Render;3.57;3.56;3.79;4.38
VSync;0.06;0.06;0.06;0.12
Cameras render;3.44;3.43;3.66;4.21
OnGUI;0.02;0.02;0.02;0.05
EndOfFrame Coroutines;0.00;0.00;0.00;0.01
Fixed calls / frame;0.49;0.00;1.00;1.00
FixedUpdate loop;1.29;0.00;2.60;3.10
FixedUpdate usercode;0.30;0.00;0.60;0.89
Physics;0.97;0.00;1.96;2.41
Coroutines;0.01;0.00;0.02;0.02
