Statistic;Mean;Median;Worst 25%;Worst 1%
FPS;95.9;94.4;85.5;28.0
Frame time;10.43;10.59;11.70;35.76
Profiler overhead;0.43;0.35;0.48;1.32
Frame init;0.03;0.02;0.03;0.05
Target framerate;0.02;0.01;0.02;0.03
EarlyUpdate;0.09;0.08;0.11;0.17
FixedUpdate;1.44;2.34;2.75;5.09
FixedUpdate usercode;0.63;0.62;0.72;1.70
Physics;2.13;2.09;2.18;3.75
Coroutines;0.02;0.02;0.02;0.03
PreUpdate;0.06;0.05;0.08;0.14
OnMouse events;0.05;0.04;0.06;0.11
Update;2.82;1.83;2.06;25.44
Update;1.14;1.10;1.21;1.51
Coroutines;1.92;1.23;1.32;24.83
LateUpdate;0.58;0.57;0.60;0.77
LateUpdate;0.46;0.46;0.48;0.62
PostLateUpdate;4.99;4.59;5.97;6.71
UGUI;0.14;0.13;0.14;0.42
Audio;0.09;0.09;0.10;0.14
Renderers;0.88;0.24;1.68;1.94
Mesh skinning;0.01;0.00;0.00;0.04
UGUI geometry;0.07;0.07;0.07;0.14
Render;3.73;3.72;3.96;4.54
VSync;0.06;0.06;0.06;0.11
Cameras render;3.60;3.59;3.83;4.38
OnGUI;0.02;0.02;0.02;0.05
EndOfFrame Coroutines;0.00;0.00;0.00;0.01
Fixed calls / frame;0.52;1.00;1.00;2.00
FixedUpdate loop;1.43;2.40;2.75;3.27
FixedUpdate usercode;0.33;0.43;0.63;1.04
Physics;1.09;1.84;2.10;2.52
Coroutines;0.01;0.01;0.02;0.02
