BENCH sphere;name=Mun;radius=200000;minLevel=2;maxLevel=9;highestLevelUnder=6250;subdivisionOffAbove=20000000;maxAnglePerSample=9.204E-005;speedCapAt60Fps=1104
BENCH colliders;name=Mun;maxLevelOffset=0;lowestLevelWithCollider=9
BENCH begin;mode=Calibrate;samples=146;verticesPerQuad=225;warpedSeconds=0;fix=0.1.0.0;fixPatching=True
BENCH;sample;ut;utSpan;realSeconds;frames;fps;altitude;speed;quads;topLevelQuads;vertices;buildMs;topLevelBuildMs;updateMs;subdivisionAvg;subdivisionMax;speedLevelCap;maxLevel
BENCH;46;382.50;1.020;1.016;113;111.2;4999.7;554.4;24;8;5400;64.690;21.855;129.590;7.00;9;9;9
BENCH;47;383.52;1.020;1.025;117;114.1;4999.7;554.4;16;8;3600;43.666;21.899;112.228;8.50;9;9;9
BENCH;48;384.54;1.020;1.018;112;110.0;4999.7;554.4;26;8;5850;71.375;23.512;137.046;7.54;9;9;9
BENCH;49;385.56;1.020;1.024;119;116.2;4999.7;554.4;16;0;3600;42.209;0.000;106.056;6.50;8;9;9
BENCH;50;386.58;1.020;1.017;118;116.0;4999.7;554.4;10;8;2250;27.322;21.903;91.951;8.40;9;9;9
BENCH;51;387.60;1.020;1.017;119;117.0;4999.7;554.4;10;8;2250;27.403;21.746;94.431;8.40;9;9;9
BENCH;52;388.62;1.020;1.025;117;114.2;4999.7;554.4;18;8;4050;47.916;21.661;110.606;7.89;9;9;9
BENCH;53;389.64;1.020;1.016;117;115.1;4999.7;554.4;16;0;3600;42.980;0.000;106.120;6.00;8;9;9
BENCH;54;390.66;1.020;1.025;113;110.3;4999.7;554.4;24;16;5400;65.114;43.938;134.038;8.67;9;9;9
BENCH;55;391.68;1.020;1.017;119;117.0;4999.7;554.4;10;0;2250;27.160;0.000;90.278;6.80;7;9;9
BENCH;56;392.70;1.020;1.017;119;117.0;4999.7;554.4;8;8;1800;22.035;22.035;86.082;9.00;9;9;9
BENCH;57;393.72;1.020;1.021;113;110.7;4999.7;554.4;27;8;6075;72.541;21.951;137.609;7.37;9;9;9
BENCH;58;394.74;1.020;1.021;114;111.6;4999.7;554.4;26;8;5850;70.491;21.742;139.053;6.92;9;9;9
BENCH;59;395.76;1.020;1.025;108;105.4;4999.7;554.4;40;8;9000;106.534;21.747;174.220;7.20;9;8;9
BENCH;60;396.78;1.020;1.017;119;117.0;4999.7;554.4;8;8;1800;21.804;21.804;88.053;9.00;9;9;9
BENCH;61;397.80;1.020;1.018;120;117.9;4999.7;554.4;8;0;1800;21.049;0.000;84.241;8.00;8;9;9
BENCH;62;398.82;1.020;1.041;116;111.4;4999.7;554.4;24;8;5400;64.104;22.019;131.925;7.67;9;9;9
