BENCH sphere;name=Mun;radius=200000;minLevel=2;maxLevel=9;highestLevelUnder=6250;subdivisionOffAbove=20000000;maxAnglePerSample=9.204E-005;speedCapAt60Fps=1104
BENCH colliders;name=Mun;maxLevelOffset=0;lowestLevelWithCollider=9
BENCH begin;mode=Calibrate;samples=146;verticesPerQuad=225;warpedSeconds=0;fix=0.1.0.0;fixPatching=True
BENCH;sample;ut;utSpan;realSeconds;frames;fps;altitude;speed;quads;topLevelQuads;vertices;buildMs;topLevelBuildMs;updateMs;subdivisionAvg;subdivisionMax;speedLevelCap;maxLevel
BENCH;46;382.56;1.020;1.023;114;111.4;4999.7;554.4;24;8;5400;66.151;23.420;135.141;7.00;9;9;9
BENCH;47;383.58;1.020;1.017;116;114.1;4999.7;554.4;16;8;3600;43.435;21.958;114.029;8.50;9;9;9
BENCH;48;384.60;1.020;1.018;112;110.0;4999.7;554.4;26;8;5850;70.675;22.246;139.775;7.54;9;9;9
BENCH;49;385.62;1.020;1.032;115;111.4;4999.7;554.4;24;8;5400;64.530;22.119;135.880;7.33;9;9;9
BENCH;50;386.64;1.020;1.007;122;121.1;4999.7;554.4;2;0;450;5.386;0.000;68.801;6.00;6;9;9
BENCH;51;387.66;1.020;1.026;120;117.0;4999.7;554.4;10;8;2250;27.254;21.892;97.665;8.40;9;9;9
BENCH;52;388.68;1.020;1.017;115;113.1;4999.7;554.4;18;8;4050;49.221;21.929;113.842;7.89;9;9;9
BENCH;53;389.70;1.020;1.024;118;115.2;4999.7;554.4;16;0;3600;43.290;0.000;108.900;6.00;8;9;9
BENCH;54;390.72;1.020;1.015;111;109.4;4999.7;554.4;24;16;5400;65.202;43.586;133.927;8.67;9;9;9
BENCH;55;391.74;1.020;1.019;117;114.8;4999.7;554.4;10;0;2250;27.524;0.000;93.547;6.80;7;9;9
BENCH;56;392.76;1.020;1.025;120;117.1;4999.7;554.4;8;8;1800;21.971;21.971;88.958;9.00;9;9;9
BENCH;57;393.78;1.020;1.017;112;110.1;4999.7;554.4;27;8;6075;72.723;21.984;139.470;7.37;9;9;9
BENCH;58;394.80;1.020;1.016;112;110.2;4999.7;554.4;26;8;5850;70.033;21.707;138.561;6.92;9;9;9
BENCH;59;395.82;1.020;1.025;108;105.4;4999.7;554.4;40;8;9000;107.352;21.995;175.651;7.20;9;9;9
BENCH;60;396.84;1.020;1.017;119;117.1;4999.7;554.4;8;8;1800;21.669;21.669;90.081;9.00;9;9;9
BENCH;61;397.86;1.020;1.031;118;114.4;4999.7;554.4;16;8;3600;43.196;21.929;110.542;8.50;9;9;9
BENCH;62;398.88;1.020;1.027;118;114.9;4999.7;554.4;16;0;3600;42.284;0.000;105.771;7.00;8;9;9
