BENCH sphere;name=Mun;radius=200000;minLevel=2;maxLevel=9;highestLevelUnder=6250;subdivisionOffAbove=20000000;maxAnglePerSample=9.204E-005;speedCapAt60Fps=1104
BENCH colliders;name=Mun;maxLevelOffset=0;lowestLevelWithCollider=9
BENCH begin;mode=Counters;samples=147;verticesPerQuad=225;warpedSeconds=0;fix=0.1.0.0;fixPatching=True
BENCH;sample;ut;utSpan;realSeconds;frames;fps;altitude;speed;quads;topLevelQuads;vertices;buildMs;topLevelBuildMs;updateMs;subdivisionAvg;subdivisionMax;speedLevelCap;maxLevel
BENCH;46;382.38;1.020;1.026;114;111.1;4999.7;554.4;24;8;5400;64.460;21.985;130.416;7.00;9;9;9
BENCH;47;383.40;1.020;1.015;116;114.3;4999.7;554.4;16;8;3600;43.209;21.980;113.163;8.50;9;9;9
BENCH;48;384.42;1.020;1.020;116;113.7;4999.7;554.4;18;0;4050;47.604;0.000;108.536;6.89;7;9;9
BENCH;49;385.44;1.020;1.023;111;108.5;4999.7;554.4;16;8;3600;43.795;21.945;110.004;7.00;9;9;9
BENCH;50;386.46;1.020;1.024;116;113.3;4999.7;554.4;18;8;4050;57.878;30.612;125.002;8.22;9;9;9
BENCH;51;387.48;1.020;1.018;119;116.9;4999.7;554.4;10;8;2250;27.481;22.081;94.988;8.40;9;9;9
BENCH;52;388.50;1.020;1.017;116;114.0;4999.7;554.4;18;8;4050;49.381;22.743;112.202;7.89;9;9;9
BENCH;53;389.52;1.020;1.023;118;115.4;4999.7;554.4;16;0;3600;43.145;0.000;108.368;6.00;8;9;9
BENCH;54;390.54;1.020;1.026;117;114.1;4999.7;554.4;16;8;3600;43.160;21.805;108.703;8.50;9;9;9
BENCH;55;391.56;1.020;1.017;115;113.1;4999.7;554.4;18;8;4050;48.322;21.761;115.132;7.78;9;9;9
BENCH;56;392.58;1.020;1.017;119;117.0;4999.7;554.4;8;8;1800;21.775;21.775;88.637;9.00;9;9;9
BENCH;57;393.60;1.020;1.017;115;113.1;4999.7;554.4;18;8;4050;48.951;22.065;113.915;8.22;9;9;9
BENCH;58;394.62;1.020;1.023;114;111.4;4999.7;554.4;27;0;6075;72.924;0.000;135.855;5.89;8;9;9
BENCH;59;395.64;1.020;1.017;103;101.3;4999.7;554.4;48;16;10800;130.488;43.964;198.883;7.50;9;9;9
BENCH;60;396.66;1.020;1.025;124;121.0;4999.7;554.4;0;0;0;0.000;0.000;63.270;0.00;0;-1;0
BENCH;61;397.68;1.020;1.019;116;113.9;4999.7;554.4;16;8;3600;42.829;21.637;108.520;8.50;9;9;9
BENCH;62;398.70;1.020;1.034;115;111.2;4999.7;554.4;24;8;5400;64.679;21.856;132.308;7.67;9;9;9
BENCH;63;399.72;1.020;1.023;120;117.3;4999.7;554.4;10;8;2250;27.655;22.030;97.734;8.40;9;9;9
BENCH;64;400.74;1.020;1.017;116;114.1;4999.7;554.4;16;8;3600;43.540;22.379;108.458;8.50;9;9;9
BENCH;65;401.76;1.020;1.025;113;110.3;4999.7;554.4;26;8;5850;69.906;22.055;136.263;7.23;9;9;9
BENCH;66;402.78;1.020;1.023;117;114.3;4999.7;554.4;18;8;4050;49.197;21.945;115.797;8.22;9;9;9
BENCH;67;403.80;1.020;1.018;121;118.8;4999.7;554.4;8;0;1800;21.579;0.000;84.615;8.00;8;9;9
BENCH;68;404.82;1.020;1.014;115;113.4;4999.7;554.4;16;8;3600;43.544;22.379;111.043;8.00;9;9;9
BENCH;69;405.84;1.020;1.020;114;111.8;4999.7;554.4;24;8;5400;66.288;24.087;133.241;8.00;9;9;9
BENCH;70;406.86;1.020;1.025;120;117.1;4999.7;554.4;8;8;1800;22.230;22.230;91.103;9.00;9;9;9
BENCH;71;407.88;1.040;1.036;118;113.9;4999.7;554.4;18;8;4050;48.874;22.099;111.071;8.22;9;9;9
BENCH;72;408.92;1.020;1.022;120;117.4;4999.7;554.4;8;0;1800;21.060;0.000;88.415;8.00;8;9;9
BENCH;73;409.94;1.020;1.017;120;118.0;4999.7;554.4;10;8;2250;27.226;21.723;95.216;8.40;9;9;9
BENCH;74;410.96;1.020;1.025;116;113.1;4999.7;554.4;18;8;4050;48.882;22.648;112.887;8.22;9;9;9
BENCH;75;411.98;1.020;1.014;116;114.4;4999.7;554.4;16;8;3600;42.776;21.679;108.572;8.00;9;9;9
BENCH;76;413.00;1.020;1.019;124;121.7;4999.7;554.4;0;0;0;0.000;0.000;60.932;0.00;0;-1;0
BENCH;77;414.02;1.020;1.026;117;114.1;4999.7;554.4;16;8;3600;43.164;21.760;111.595;8.50;9;9;9
BENCH;78;415.04;1.020;1.017;117;115.1;4999.7;554.4;16;8;3600;43.287;21.843;109.218;8.50;9;9;9
BENCH;79;416.06;1.020;1.019;107;105.1;4999.7;554.4;40;8;9000;107.372;21.925;172.500;6.60;9;9;9
BENCH;80;417.08;1.020;1.024;119;116.2;4999.7;554.4;10;0;2250;30.252;0.000;98.244;7.60;8;9;9
BENCH;81;418.10;1.020;1.015;118;116.2;4999.7;554.4;10;8;2250;27.546;22.154;94.695;8.40;9;9;9
BENCH;82;419.12;1.020;1.042;120;115.2;4999.7;554.4;16;8;3600;42.788;21.696;112.640;8.50;9;9;9
BENCH;83;420.14;1.020;1.016;117;115.1;4999.7;554.4;16;8;3600;42.997;21.865;108.338;8.50;9;9;9
BENCH;84;421.16;1.020;1.019;116;113.8;4999.7;554.4;16;8;3600;43.727;22.351;108.862;7.50;9;9;9
BENCH;85;422.18;1.020;1.023;120;117.3;4999.7;554.4;12;0;2700;32.061;0.000;94.023;6.33;8;9;9
BENCH;86;423.20;1.020;1.017;118;116.0;4999.7;554.4;16;8;3600;43.012;21.773;111.053;8.00;9;9;9
BENCH;87;424.22;1.020;1.025;112;109.2;4999.7;554.4;26;8;5850;70.474;21.870;138.572;7.46;9;8;9
BENCH;88;425.24;1.020;1.026;116;113.1;4999.7;554.4;16;8;3600;42.981;21.881;106.402;8.50;9;9;9
BENCH;89;426.26;1.020;1.007;115;114.2;4999.7;554.4;16;8;3600;43.872;21.601;110.054;7.00;9;9;9
BENCH;90;427.28;1.020;1.026;115;112.1;4999.7;554.4;28;0;6300;74.905;0.000;138.321;6.93;8;8;9
BENCH;91;428.30;1.020;1.015;119;117.2;4999.7;554.4;8;8;1800;22.600;22.600;87.265;9.00;9;9;9
BENCH;92;429.32;1.020;1.027;117;114.0;4999.7;554.4;16;8;3600;43.522;22.508;112.619;8.50;9;9;9
BENCH;93;430.34;1.020;1.017;116;114.1;4999.7;554.4;16;8;3600;43.077;21.796;107.730;8.50;9;9;9
BENCH;94;431.36;1.020;1.016;123;121.1;4999.7;554.4;2;0;450;5.366;0.000;69.163;5.00;5;9;9
BENCH;95;432.38;1.020;1.035;117;113.1;4999.7;554.4;24;8;5400;65.302;22.656;132.604;7.33;9;9;9
BENCH;96;433.40;1.020;1.006;119;118.2;4999.7;554.4;8;8;1800;22.109;22.109;87.975;9.00;9;9;9
BENCH;97;434.42;1.020;1.026;116;113.1;4999.7;554.4;18;8;4050;48.332;21.635;115.510;7.67;9;9;9
BENCH;98;435.44;1.020;1.016;121;119.1;4999.7;554.4;10;0;2250;26.533;0.000;87.660;7.40;8;9;9
BENCH;99;436.46;1.020;1.017;119;117.0;4999.7;554.4;8;8;1800;22.333;22.333;88.844;9.00;9;9;9
BENCH;100;437.48;1.020;1.025;114;111.2;4999.7;554.4;18;8;4050;48.490;21.996;112.016;7.89;9;9;9
BENCH;101;438.50;1.020;1.016;108;106.3;4999.7;554.4;40;8;9000;107.016;22.272;172.336;7.40;9;9;9
BENCH;102;439.52;1.020;1.025;124;121.0;4999.7;554.4;0;0;0;0.000;0.000;62.814;0.00;0;-1;0
BENCH;103;440.54;1.020;1.017;116;114.1;4999.7;554.4;16;8;3600;43.082;21.789;109.205;8.50;9;9;9
BENCH;104;441.56;1.020;1.026;117;114.1;4999.7;554.4;16;8;3600;43.786;22.077;111.712;7.00;9;9;9
BENCH;105;442.58;1.020;1.016;117;115.1;4999.7;554.4;16;8;3600;42.771;21.810;110.110;8.50;9;9;9
BENCH;106;443.60;1.020;1.018;120;117.9;4999.7;554.4;10;0;2250;27.034;0.000;89.329;7.40;8;9;9
BENCH;107;444.62;1.020;1.024;120;117.1;4999.7;554.4;8;8;1800;21.601;21.601;88.299;9.00;9;9;9
BENCH;108;445.64;1.040;1.035;110;106.2;4999.7;554.4;38;8;8550;104.231;21.831;168.421;6.68;9;9;9
BENCH;109;446.68;1.020;1.023;117;114.3;4999.7;554.4;18;8;4050;49.312;22.399;116.745;7.22;9;9;9
BENCH;110;447.70;1.020;1.016;120;118.1;4999.7;554.4;10;0;2250;26.457;0.000;91.001;7.40;8;9;9
BENCH;111;448.72;1.020;1.025;121;118.1;4999.7;554.4;8;8;1800;22.234;22.234;89.444;9.00;9;9;9
BENCH;112;449.74;1.040;1.037;120;115.7;4999.7;554.4;16;0;3600;42.332;0.000;105.321;7.50;8;9;9
BENCH;113;450.78;1.020;1.022;118;115.5;4999.7;554.4;18;8;4050;49.361;21.622;116.325;7.67;9;9;9
BENCH;114;451.80;1.020;1.016;117;115.1;4999.7;554.4;16;8;3600;42.983;21.725;110.010;8.50;9;9;9
BENCH;115;452.82;1.020;1.025;117;114.1;4999.7;554.4;16;8;3600;42.669;21.623;108.374;8.50;9;9;9
BENCH;116;453.84;1.020;1.017;119;117.0;4999.7;554.4;8;8;1800;22.253;22.253;86.219;9.00;9;9;9
BENCH;117;454.86;1.020;1.017;116;114.1;4999.7;554.4;16;8;3600;43.864;22.360;106.756;8.50;9;9;9
BENCH;118;455.88;1.020;1.024;124;121.1;4999.7;554.4;0;0;0;0.000;0.000;60.914;0.00;0;-1;0
BENCH;119;456.90;1.020;1.018;113;111.0;4999.7;554.4;26;8;5850;69.556;21.726;134.149;7.77;9;9;9
BENCH;120;457.92;1.020;1.025;120;117.1;4999.7;554.4;8;8;1800;21.997;21.997;89.809;9.00;9;9;9
BENCH;121;458.94;1.020;1.018;116;114.0;4999.7;554.4;16;8;3600;43.221;22.021;108.117;8.50;9;9;9
BENCH;122;459.96;1.020;1.017;118;116.0;4999.7;554.4;18;0;4050;48.833;0.000;109.247;5.89;8;9;9
BENCH;123;460.98;1.020;1.024;113;110.4;4999.7;554.4;26;8;5850;69.871;21.924;139.349;7.46;9;9;9
BENCH;124;462.00;1.020;1.017;114;112.1;4999.7;554.4;24;8;5400;64.910;21.904;128.929;7.67;9;9;9
BENCH;125;463.02;1.020;1.025;121;118.1;4999.7;554.4;8;8;1800;21.680;21.680;89.401;9.00;9;9;9
BENCH;126;464.04;1.020;1.024;117;114.3;4999.7;554.4;16;8;3600;43.036;22.006;109.625;8.50;9;9;9
BENCH;127;465.06;1.020;1.009;118;117.0;4999.7;554.4;12;0;2700;32.571;0.000;92.059;6.50;8;9;9
BENCH;128;466.08;1.020;1.026;120;117.0;4999.7;554.4;8;8;1800;21.818;21.818;88.341;9.00;9;9;9
BENCH;129;467.10;1.020;1.017;117;115.1;4999.7;554.4;16;8;3600;44.120;22.002;110.039;6.50;9;9;9
BENCH;130;468.12;1.020;1.026;115;112.1;4999.7;554.4;26;0;5850;69.411;0.000;131.931;6.62;8;9;9
BENCH;131;469.14;1.020;1.016;117;115.2;4999.7;554.4;16;8;3600;43.582;21.823;112.167;8.50;9;9;9
BENCH;132;470.16;1.020;1.016;116;114.2;4999.7;554.4;18;8;4050;48.709;21.972;113.635;7.22;9;9;9
BENCH;133;471.18;1.020;1.020;114;111.8;4999.7;554.4;24;8;5400;64.551;22.002;131.515;7.33;9;9;9
BENCH;134;472.20;1.020;1.022;118;115.4;4999.7;554.4;16;0;3600;42.517;0.000;106.371;7.00;7;9;9
BENCH;135;473.22;1.020;1.026;117;114.1;4999.7;554.4;16;8;3600;44.451;23.380;110.120;8.50;9;9;9
BENCH;136;474.24;1.020;1.017;118;116.0;4999.7;554.4;10;8;2250;27.279;21.871;97.536;8.20;9;9;9
BENCH;137;475.26;1.020;1.016;115;113.2;4999.7;554.4;18;8;4050;49.122;22.648;111.460;8.11;9;9;9
BENCH;138;476.28;1.020;1.026;124;120.9;4999.7;554.4;0;0;0;0.000;0.000;61.263;0.00;0;-1;0
BENCH;139;477.30;1.020;1.017;117;115.1;4999.7;554.4;16;8;3600;42.988;21.993;112.577;8.50;9;9;9
BENCH;140;478.32;1.020;1.019;113;110.9;4999.7;554.4;24;8;5400;65.447;22.043;130.118;6.00;9;9;9
BENCH;141;479.34;1.020;1.025;118;115.2;4999.7;554.4;18;0;4050;47.546;0.000;112.085;7.22;8;9;9
BENCH;142;480.36;1.020;1.014;119;117.4;4999.7;554.4;10;8;2250;27.192;21.731;93.425;7.80;9;9;9
BENCH;143;481.38;1.020;1.026;116;113.1;4999.7;554.4;20;8;4500;53.979;21.917;118.506;7.40;9;9;9
BENCH;144;482.40;1.020;1.018;121;118.9;4999.7;554.4;8;0;1800;21.195;0.000;84.562;8.00;8;9;9
BENCH;145;483.42;1.020;1.024;120;117.2;4999.7;554.4;8;8;1800;21.631;21.631;84.777;9.00;9;9;9
BENCH;146;484.44;1.020;1.030;105;102.0;4999.7;554.4;50;8;11250;136.660;22.700;202.971;6.76;9;8;9
BENCH end
